region_id,region_name,province,date,year,month,transactions,in_branch_transactions,digital_transactions,digital_percentage
RG007,Hamilton,Ontario,2022-02-25,2022,2,248051,95499,152551,61.5
RG008,Ottawa,Ontario,2022-02-25,2022,2,70386,14006,56379,80.1
RG009,Vancouver Downtown,British Columbia,2022-02-25,2022,2,110886,35261,75624,68.2
RG010,Vancouver East,British Columbia,2022-02-25,2022,2,105782,45168,60613,57.3
RG011,Vancouver West,British Columbia,2022-02-25,2022,2,132076,25094,106981,81.0
RG012,Burnaby,British Columbia,2022-02-25,2022,2,142320,35580,106740,75.0
RG013,Surrey,British Columbia,2022-02-25,2022,2,247751,107771,139979,56.5
RG014,Richmond,British Columbia,2022-02-25,2022,2,223545,96347,127197,56.9
RG015,Calgary Downtown,Alberta,2022-02-25,2022,2,146086,65008,81077,55.5
RG016,Calgary North,Alberta,2022-02-25,2022,2,181467,84382,97084,53.5
RG017,Calgary South,Alberta,2022-02-25,2022,2,124246,19506,104739,84.3
RG018,Edmonton Central,Alberta,2022-02-25,2022,2,157609,27581,130027,82.5
RG019,Edmonton West,Alberta,2022-02-25,2022,2,37390,16488,20901,55.9
RG020,Montreal Central,Quebec,2022-02-25,2022,2,52148,19868,32279,61.9
RG021,Montreal East,Quebec,2022-02-25,2022,2,95438,42660,52777,55.3
RG022,Montreal West,Quebec,2022-02-25,2022,2,130082,21593,108488,83.4
RG023,Laval,Quebec,2022-02-25,2022,2,85915,40723,45191,52.6
RG024,Quebec City,Quebec,2022-02-25,2022,2,57525,24563,32961,57.3
RG001,Toronto Central,Ontario,2022-03-27,2022,3,277994,63660,214333,77.1
RG002,Toronto North,Ontario,2022-03-27,2022,3,287319,125558,161760,56.3
RG003,Toronto East,Ontario,2022-03-27,2022,3,208980,57469,151510,72.5
RG004,Toronto West,Ontario,2022-03-27,2022,3,217308,87357,129950,59.8
RG005,Mississauga,Ontario,2022-03-27,2022,3,202002,30300,171701,85.0
RG006,Brampton,Ontario,2022-03-27,2022,3,153704,25207,128496,83.6
RG007,Hamilton,Ontario,2022-03-27,2022,3,259845,100040,159804,61.5
RG008,Ottawa,Ontario,2022-03-27,2022,3,78104,15542,62561,80.1
RG009,Vancouver Downtown,British Columbia,2022-03-27,2022,3,132034,41986,90047,68.2
RG010,Vancouver East,British Columbia,2022-03-27,2022,3,117110,50005,67104,57.3
RG011,Vancouver West,British Columbia,2022-03-27,2022,3,144800,27512,117288,81.0
RG012,Burnaby,British Columbia,2022-03-27,2022,3,161412,40353,121059,75.0
RG013,Surrey,British Columbia,2022-03-27,2022,3,280033,121814,158218,56.5
RG014,Richmond,British Columbia,2022-03-27,2022,3,235829,101642,134186,56.9
RG015,Calgary Downtown,Alberta,2022-03-27,2022,3,153505,68309,85195,55.5
RG016,Calgary North,Alberta,2022-03-27,2022,3,198234,92178,106055,53.5
RG017,Calgary South,Alberta,2022-03-27,2022,3,146602,23016,123585,84.3
RG018,Edmonton Central,Alberta,2022-03-27,2022,3,172216,30137,142078,82.5
RG019,Edmonton West,Alberta,2022-03-27,2022,3,41491,18297,23193,55.9
RG020,Montreal Central,Quebec,2022-03-27,2022,3,57278,21822,35455,61.9
RG021,Montreal East,Quebec,2022-03-27,2022,3,112351,50220,62130,55.3
RG022,Montreal West,Quebec,2022-03-27,2022,3,149336,24789,124546,83.4
RG023,Laval,Quebec,2022-03-27,2022,3,94622,44850,49771,52.6
RG024,Quebec City,Quebec,2022-03-27,2022,3,63651,27178,36472,57.3
RG001,Toronto Central,Ontario,2022-04-26,2022,4,279178,63931,215246,77.1
RG002,Toronto North,Ontario,2022-04-26,2022,4,274263,119852,154410,56.3
RG003,Toronto East,Ontario,2022-04-26,2022,4,219301,60307,158993,72.5
RG004,Toronto West,Ontario,2022-04-26,2022,4,219014,88043,130970,59.8
RG005,Mississauga,Ontario,2022-04-26,2022,4,215170,32275,182894,85.0
RG006,Brampton,Ontario,2022-04-26,2022,4,154531,25343,129187,83.6
RG007,Hamilton,Ontario,2022-04-26,2022,4,276318,106382,169935,61.5
RG008,Ottawa,Ontario,2022-04-26,2022,4,76245,15172,61072,80.1
RG009,Vancouver Downtown,British Columbia,2022-04-26,2022,4,120717,38388,82328,68.2
RG010,Vancouver East,British Columbia,2022-04-26,2022,4,114851,49041,65809,57.3
RG011,Vancouver West,British Columbia,2022-04-26,2022,4,143721,27306,116414,81.0
RG012,Burnaby,British Columbia,2022-04-26,2022,4,160981,40245,120735,75.0
RG013,Surrey,British Columbia,2022-04-26,2022,4,275820,119981,155838,56.5
RG014,Richmond,British Columbia,2022-04-26,2022,4,246464,106225,140238,56.9
RG015,Calgary Downtown,Alberta,2022-04-26,2022,4,162678,72391,90286,55.5
RG016,Calgary North,Alberta,2022-04-26,2022,4,210786,98015,112770,53.5
RG017,Calgary South,Alberta,2022-04-26,2022,4,147320,23129,124190,84.3
RG018,Edmonton Central,Alberta,2022-04-26,2022,4,175431,30700,144730,82.5
RG019,Edmonton West,Alberta,2022-04-26,2022,4,43498,19182,24315,55.9
RG020,Montreal Central,Quebec,2022-04-26,2022,4,56180,21404,34775,61.9
RG021,Montreal East,Quebec,2022-04-26,2022,4,111096,49659,61436,55.3
RG022,Montreal West,Quebec,2022-04-26,2022,4,159963,26553,133409,83.4
RG023,Laval,Quebec,2022-04-26,2022,4,96141,45570,50570,52.6
RG024,Quebec City,Quebec,2022-04-26,2022,4,60078,25653,34424,57.3
RG001,Toronto Central,Ontario,2022-05-26,2022,5,267250,61200,206049,77.1
RG002,Toronto North,Ontario,2022-05-26,2022,5,286668,125273,161394,56.3
RG003,Toronto East,Ontario,2022-05-26,2022,5,209321,57563,151757,72.5
RG004,Toronto West,Ontario,2022-05-26,2022,5,225835,90785,135049,59.8
RG005,Mississauga,Ontario,2022-05-26,2022,5,204177,30626,173550,85.0
RG006,Brampton,Ontario,2022-05-26,2022,5,153960,25249,128710,83.6
RG007,Hamilton,Ontario,2022-05-26,2022,5,257737,99228,158508,61.5
RG008,Ottawa,Ontario,2022-05-26,2022,5,81918,16301,65616,80.1
RG009,Vancouver Downtown,British Columbia,2022-05-26,2022,5,127977,40696,87280,68.2
RG010,Vancouver East,British Columbia,2022-05-26,2022,5,111337,47540,63796,57.3
RG011,Vancouver West,British Columbia,2022-05-26,2022,5,144989,27547,117441,81.0
RG012,Burnaby,British Columbia,2022-05-26,2022,5,158399,39599,118799,75.0
RG013,Surrey,British Columbia,2022-05-26,2022,5,272775,118657,154117,56.5
RG014,Richmond,British Columbia,2022-05-26,2022,5,241675,104161,137513,56.9
RG015,Calgary Downtown,Alberta,2022-05-26,2022,5,157486,70081,87404,55.5
RG016,Calgary North,Alberta,2022-05-26,2022,5,202481,94153,108327,53.5
RG017,Calgary South,Alberta,2022-05-26,2022,5,146191,22951,123239,84.3
RG018,Edmonton Central,Alberta,2022-05-26,2022,5,176555,30897,145657,82.5
RG019,Edmonton West,Alberta,2022-05-26,2022,5,43162,19034,24127,55.9
RG020,Montreal Central,Quebec,2022-05-26,2022,5,54587,20797,33789,61.9
RG021,Montreal East,Quebec,2022-05-26,2022,5,105776,47281,58494,55.3
RG022,Montreal West,Quebec,2022-05-26,2022,5,152482,25312,127169,83.4
RG023,Laval,Quebec,2022-05-26,2022,5,97144,46046,51097,52.6
RG024,Quebec City,Quebec,2022-05-26,2022,5,63706,27202,36503,57.3
RG001,Toronto Central,Ontario,2022-06-25,2022,6,285145,65298,219846,77.1
RG002,Toronto North,Ontario,2022-06-25,2022,6,289426,126479,162946,56.3
RG003,Toronto East,Ontario,2022-06-25,2022,6,228776,62913,165862,72.5
RG004,Toronto West,Ontario,2022-06-25,2022,6,235029,94481,140547,59.8
RG005,Mississauga,Ontario,2022-06-25,2022,6,213020,31953,181067,85.0
RG006,Brampton,Ontario,2022-06-25,2022,6,169427,27786,141640,83.6
RG007,Hamilton,Ontario,2022-06-25,2022,6,268994,103562,165431,61.5
RG008,Ottawa,Ontario,2022-06-25,2022,6,80686,16056,64629,80.1
RG009,Vancouver Downtown,British Columbia,2022-06-25,2022,6,137276,43653,93622,68.2
RG010,Vancouver East,British Columbia,2022-06-25,2022,6,126346,53949,72396,57.3
RG011,Vancouver West,British Columbia,2022-06-25,2022,6,146655,27864,118790,81.0
RG012,Burnaby,British Columbia,2022-06-25,2022,6,166994,41748,125245,75.0
RG013,Surrey,British Columbia,2022-06-25,2022,6,291947,126996,164950,56.5
RG014,Richmond,British Columbia,2022-06-25,2022,6,256845,110700,146144,56.9
RG015,Calgary Downtown,Alberta,2022-06-25,2022,6,167095,74357,92737,55.5
RG016,Calgary North,Alberta,2022-06-25,2022,6,211971,98566,113404,53.5
RG017,Calgary South,Alberta,2022-06-25,2022,6,143936,22597,121338,84.3
RG018,Edmonton Central,Alberta,2022-06-25,2022,6,184749,32331,152417,82.5
RG019,Edmonton West,Alberta,2022-06-25,2022,6,46060,20312,25747,55.9
RG020,Montreal Central,Quebec,2022-06-25,2022,6,57682,21976,35705,61.9
RG021,Montreal East,Quebec,2022-06-25,2022,6,115579,51663,63915,55.3
RG022,Montreal West,Quebec,2022-06-25,2022,6,158881,26374,132506,83.4
RG023,Laval,Quebec,2022-06-25,2022,6,102634,48648,53985,52.6
RG024,Quebec City,Quebec,2022-06-25,2022,6,61491,26256,35234,57.3
RG001,Toronto Central,Ontario,2022-07-25,2022,7,277144,63465,213678,77.1
RG002,Toronto North,Ontario,2022-07-25,2022,7,304541,133084,171456,56.3
RG003,Toronto East,Ontario,2022-07-25,2022,7,226007,62151,163855,72.5
RG004,Toronto West,Ontario,2022-07-25,2022,7,232178,93335,138842,59.8
RG005,Mississauga,Ontario,2022-07-25,2022,7,220166,33024,187141,85.0
RG006,Brampton,Ontario,2022-07-25,2022,7,171418,28112,143305,83.6
RG007,Hamilton,Ontario,2022-07-25,2022,7,278944,107393,171550,61.5
RG008,Ottawa,Ontario,2022-07-25,2022,7,84912,16897,68014,80.1
RG009,Vancouver Downtown,British Columbia,2022-07-25,2022,7,130823,41601,89221,68.2
RG010,Vancouver East,British Columbia,2022-07-25,2022,7,121037,51682,69354,57.3
RG011,Vancouver West,British Columbia,2022-07-25,2022,7,147569,28038,119530,81.0
RG012,Burnaby,British Columbia,2022-07-25,2022,7,157419,39354,118064,75.0
RG013,Surrey,British Columbia,2022-07-25,2022,7,289316,125852,163463,56.5
RG014,Richmond,British Columbia,2022-07-25,2022,7,258074,111229,146844,56.9
RG015,Calgary Downtown,Alberta,2022-07-25,2022,7,175125,77930,97194,55.5
RG016,Calgary North,Alberta,2022-07-25,2022,7,210308,97793,112514,53.5
RG017,Calgary South,Alberta,2022-07-25,2022,7,154403,24241,130161,84.3
RG018,Edmonton Central,Alberta,2022-07-25,2022,7,183182,32056,151125,82.5
RG019,Edmonton West,Alberta,2022-07-25,2022,7,47312,20864,26447,55.9
RG020,Montreal Central,Quebec,2022-07-25,2022,7,60310,22978,37331,61.9
RG021,Montreal East,Quebec,2022-07-25,2022,7,115201,51494,63706,55.3
RG022,Montreal West,Quebec,2022-07-25,2022,7,154908,25714,129193,83.4
RG023,Laval,Quebec,2022-07-25,2022,7,101367,48047,53319,52.6
RG024,Quebec City,Quebec,2022-07-25,2022,7,61703,26347,35355,57.3
RG001,Toronto Central,Ontario,2022-08-24,2022,8,275948,63192,212755,77.1
RG002,Toronto North,Ontario,2022-08-24,2022,8,286146,125045,161100,56.3
RG003,Toronto East,Ontario,2022-08-24,2022,8,228162,62744,165417,72.5
RG004,Toronto West,Ontario,2022-08-24,2022,8,223593,89884,133708,59.8
RG005,Mississauga,Ontario,2022-08-24,2022,8,228825,34323,194501,85.0
RG006,Brampton,Ontario,2022-08-24,2022,8,166431,27294,139136,83.6
RG007,Hamilton,Ontario,2022-08-24,2022,8,269576,103786,165789,61.5
RG008,Ottawa,Ontario,2022-08-24,2022,8,88690,17649,71040,80.1
RG009,Vancouver Downtown,British Columbia,2022-08-24,2022,8,130154,41388,88765,68.2
RG010,Vancouver East,British Columbia,2022-08-24,2022,8,126721,54109,72611,57.3
RG011,Vancouver West,British Columbia,2022-08-24,2022,8,146093,27757,118335,81.0
RG012,Burnaby,British Columbia,2022-08-24,2022,8,156968,39242,117726,75.0
RG013,Surrey,British Columbia,2022-08-24,2022,8,291066,126613,164452,56.5
RG014,Richmond,British Columbia,2022-08-24,2022,8,251873,108557,143315,56.9
RG015,Calgary Downtown,Alberta,2022-08-24,2022,8,161031,71658,89372,55.5
RG016,Calgary North,Alberta,2022-08-24,2022,8,210972,98101,112870,53.5
RG017,Calgary South,Alberta,2022-08-24,2022,8,156503,24570,131932,84.3
RG018,Edmonton Central,Alberta,2022-08-24,2022,8,175549,30721,144827,82.5
RG019,Edmonton West,Alberta,2022-08-24,2022,8,45583,20102,25480,55.9
RG020,Montreal Central,Quebec,2022-08-24,2022,8,61111,23283,37827,61.9
RG021,Montreal East,Quebec,2022-08-24,2022,8,113163,50583,62579,55.3
RG022,Montreal West,Quebec,2022-08-24,2022,8,168938,28043,140894,83.4
RG023,Laval,Quebec,2022-08-24,2022,8,103443,49031,54411,52.6
RG024,Quebec City,Quebec,2022-08-24,2022,8,65601,28011,37589,57.3
RG001,Toronto Central,Ontario,2022-09-23,2022,9,271631,62203,209427,77.1
RG002,Toronto North,Ontario,2022-09-23,2022,9,294163,128549,165613,56.3
RG003,Toronto East,Ontario,2022-09-23,2022,9,223369,61426,161942,72.5
RG004,Toronto West,Ontario,2022-09-23,2022,9,213330,85758,127571,59.8
RG005,Mississauga,Ontario,2022-09-23,2022,9,217214,32582,184631,85.0
RG006,Brampton,Ontario,2022-09-23,2022,9,160818,26374,134443,83.6
RG007,Hamilton,Ontario,2022-09-23,2022,9,281975,108560,173414,61.5
RG008,Ottawa,Ontario,2022-09-23,2022,9,77708,15463,62244,80.1
RG009,Vancouver Downtown,British Columbia,2022-09-23,2022,9,122760,39037,83722,68.2
RG010,Vancouver East,British Columbia,2022-09-23,2022,9,114248,48783,65464,57.3
RG011,Vancouver West,British Columbia,2022-09-23,2022,9,140269,26651,113617,81.0
RG012,Burnaby,British Columbia,2022-09-23,2022,9,157034,39258,117775,75.0
RG013,Surrey,British Columbia,2022-09-23,2022,9,282777,123007,159769,56.5
RG014,Richmond,British Columbia,2022-09-23,2022,9,241189,103952,137236,56.9
RG015,Calgary Downtown,Alberta,2022-09-23,2022,9,162969,72521,90447,55.5
RG016,Calgary North,Alberta,2022-09-23,2022,9,211338,98272,113065,53.5
RG017,Calgary South,Alberta,2022-09-23,2022,9,144733,22723,122009,84.3
RG018,Edmonton Central,Alberta,2022-09-23,2022,9,177534,31068,146465,82.5
RG019,Edmonton West,Alberta,2022-09-23,2022,9,43693,19268,24424,55.9
RG020,Montreal Central,Quebec,2022-09-23,2022,9,57282,21824,35457,61.9
RG021,Montreal East,Quebec,2022-09-23,2022,9,107575,48086,59488,55.3
RG022,Montreal West,Quebec,2022-09-23,2022,9,146473,24314,122158,83.4
RG023,Laval,Quebec,2022-09-23,2022,9,93075,44117,48957,52.6
RG024,Quebec City,Quebec,2022-09-23,2022,9,61105,26091,35013,57.3
RG001,Toronto Central,Ontario,2022-10-23,2022,10,274503,62861,211641,77.1
RG002,Toronto North,Ontario,2022-10-23,2022,10,289158,126362,162795,56.3
RG003,Toronto East,Ontario,2022-10-23,2022,10,214343,58944,155398,72.5
RG004,Toronto West,Ontario,2022-10-23,2022,10,211991,85220,126770,59.8
RG005,Mississauga,Ontario,2022-10-23,2022,10,202907,30436,172470,85.0
RG006,Brampton,Ontario,2022-10-23,2022,10,156088,25598,130489,83.6
RG007,Hamilton,Ontario,2022-10-23,2022,10,278889,107372,171516,61.5
RG008,Ottawa,Ontario,2022-10-23,2022,10,84192,16754,67437,80.1
RG009,Vancouver Downtown,British Columbia,2022-10-23,2022,10,126066,40088,85977,68.2
RG010,Vancouver East,British Columbia,2022-10-23,2022,10,111481,47602,63878,57.3
RG011,Vancouver West,British Columbia,2022-10-23,2022,10,144861,27523,117337,81.0
RG012,Burnaby,British Columbia,2022-10-23,2022,10,148657,37164,111492,75.0
RG013,Surrey,British Columbia,2022-10-23,2022,10,274889,119576,155312,56.5
RG014,Richmond,British Columbia,2022-10-23,2022,10,240873,103816,137056,56.9
RG015,Calgary Downtown,Alberta,2022-10-23,2022,10,163399,72712,90686,55.5
RG016,Calgary North,Alberta,2022-10-23,2022,10,213851,99440,114410,53.5
RG017,Calgary South,Alberta,2022-10-23,2022,10,149849,23526,126322,84.3
RG018,Edmonton Central,Alberta,2022-10-23,2022,10,170440,29826,140613,82.5
RG019,Edmonton West,Alberta,2022-10-23,2022,10,41630,18358,23271,55.9
RG020,Montreal Central,Quebec,2022-10-23,2022,10,58154,22156,35997,61.9
RG021,Montreal East,Quebec,2022-10-23,2022,10,107493,48049,59443,55.3
RG022,Montreal West,Quebec,2022-10-23,2022,10,157760,26188,131571,83.4
RG023,Laval,Quebec,2022-10-23,2022,10,93909,44512,49396,52.6
RG024,Quebec City,Quebec,2022-10-23,2022,10,61338,26191,35146,57.3
RG001,Toronto Central,Ontario,2022-11-22,2022,11,308175,70572,237602,77.1
RG002,Toronto North,Ontario,2022-11-22,2022,11,311503,136126,175376,56.3
RG003,Toronto East,Ontario,2022-11-22,2022,11,256027,70407,185619,72.5
RG004,Toronto West,Ontario,2022-11-22,2022,11,268988,108133,160854,59.8
RG005,Mississauga,Ontario,2022-11-22,2022,11,243509,36526,206982,85.0
RG006,Brampton,Ontario,2022-11-22,2022,11,184376,30237,154138,83.6
RG007,Hamilton,Ontario,2022-11-22,2022,11,320447,123372,197074,61.5
RG008,Ottawa,Ontario,2022-11-22,2022,11,97881,19478,78402,80.1
RG009,Vancouver Downtown,British Columbia,2022-11-22,2022,11,148659,47273,101385,68.2
RG010,Vancouver East,British Columbia,2022-11-22,2022,11,130543,55741,74801,57.3
RG011,Vancouver West,British Columbia,2022-11-22,2022,11,168143,31947,136195,81.0
RG012,Burnaby,British Columbia,2022-11-22,2022,11,179578,44894,134683,75.0
RG013,Surrey,British Columbia,2022-11-22,2022,11,302667,131660,171006,56.5
RG014,Richmond,British Columbia,2022-11-22,2022,11,279501,120464,159036,56.9
RG015,Calgary Downtown,Alberta,2022-11-22,2022,11,184445,82078,102366,55.5
RG016,Calgary North,Alberta,2022-11-22,2022,11,239293,111271,128021,53.5
RG017,Calgary South,Alberta,2022-11-22,2022,11,170719,26802,143916,84.3
RG018,Edmonton Central,Alberta,2022-11-22,2022,11,205948,36040,169907,82.5
RG019,Edmonton West,Alberta,2022-11-22,2022,11,51092,22531,28560,55.9
RG020,Montreal Central,Quebec,2022-11-22,2022,11,66706,25414,41291,61.9
RG021,Montreal East,Quebec,2022-11-22,2022,11,127257,56883,70373,55.3
RG022,Montreal West,Quebec,2022-11-22,2022,11,182274,30257,152016,83.4
RG023,Laval,Quebec,2022-11-22,2022,11,114926,54474,60451,52.6
RG024,Quebec City,Quebec,2022-11-22,2022,11,71924,30711,41212,57.3
RG001,Toronto Central,Ontario,2022-12-22,2022,12,315890,72338,243551,77.1
RG002,Toronto North,Ontario,2022-12-22,2022,12,326657,142749,183907,56.3
RG003,Toronto East,Ontario,2022-12-22,2022,12,247728,68125,179602,72.5
RG004,Toronto West,Ontario,2022-12-22,2022,12,244648,98348,146299,59.8
RG005,Mississauga,Ontario,2022-12-22,2022,12,245549,36832,208716,85.0
RG006,Brampton,Ontario,2022-12-22,2022,12,188167,30859,157307,83.6
RG007,Hamilton,Ontario,2022-12-22,2022,12,315634,121519,194114,61.5
RG008,Ottawa,Ontario,2022-12-22,2022,12,89348,17780,71567,80.1
RG009,Vancouver Downtown,British Columbia,2022-12-22,2022,12,142326,45259,97066,68.2
RG010,Vancouver East,British Columbia,2022-12-22,2022,12,134944,57621,77322,57.3
RG011,Vancouver West,British Columbia,2022-12-22,2022,12,159808,30363,129444,81.0
RG012,Burnaby,British Columbia,2022-12-22,2022,12,174965,43741,131223,75.0
RG013,Surrey,British Columbia,2022-12-22,2022,12,307069,133575,173493,56.5
RG014,Richmond,British Columbia,2022-12-22,2022,12,264447,113976,150470,56.9
RG015,Calgary Downtown,Alberta,2022-12-22,2022,12,181761,80883,100877,55.5
RG016,Calgary North,Alberta,2022-12-22,2022,12,241675,112378,129296,53.5
RG017,Calgary South,Alberta,2022-12-22,2022,12,168346,26430,141915,84.3
RG018,Edmonton Central,Alberta,2022-12-22,2022,12,208654,36514,172139,82.5
RG019,Edmonton West,Alberta,2022-12-22,2022,12,49583,21866,27716,55.9
RG020,Montreal Central,Quebec,2022-12-22,2022,12,62798,23926,38871,61.9
RG021,Montreal East,Quebec,2022-12-22,2022,12,125259,55990,69268,55.3
RG022,Montreal West,Quebec,2022-12-22,2022,12,173233,28756,144476,83.4
RG023,Laval,Quebec,2022-12-22,2022,12,109575,51938,57636,52.6
RG024,Quebec City,Quebec,2022-12-22,2022,12,69372,29621,39750,57.3
RG001,Toronto Central,Ontario,2023-01-21,2023,1,255435,58494,196940,77.1
RG002,Toronto North,Ontario,2023-01-21,2023,1,266728,116560,150167,56.3
RG003,Toronto East,Ontario,2023-01-21,2023,1,192850,53033,139816,72.5
RG004,Toronto West,Ontario,2023-01-21,2023,1,193745,77885,115859,59.8
RG005,Mississauga,Ontario,2023-01-21,2023,1,194821,29223,165597,85.0
RG006,Brampton,Ontario,2023-01-21,2023,1,150584,24695,125888,83.6
RG007,Hamilton,Ontario,2023-01-21,2023,1,237315,91366,145948,61.5
RG008,Ottawa,Ontario,2023-01-21,2023,1,76053,15134,60918,80.1
RG009,Vancouver Downtown,British Columbia,2023-01-21,2023,1,114590,36439,78150,68.2
RG010,Vancouver East,British Columbia,2023-01-21,2023,1,110826,47322,63503,57.3
RG011,Vancouver West,British Columbia,2023-01-21,2023,1,135520,25748,109771,81.0
RG012,Burnaby,British Columbia,2023-01-21,2023,1,139065,34766,104298,75.0
RG013,Surrey,British Columbia,2023-01-21,2023,1,247540,107679,139860,56.5
RG014,Richmond,British Columbia,2023-01-21,2023,1,215254,92774,122479,56.9
RG015,Calgary Downtown,Alberta,2023-01-21,2023,1,142441,63386,79054,55.5
RG016,Calgary North,Alberta,2023-01-21,2023,1,193352,89908,103443,53.5
RG017,Calgary South,Alberta,2023-01-21,2023,1,130794,20534,110259,84.3
RG018,Edmonton Central,Alberta,2023-01-21,2023,1,159428,27899,131528,82.5
RG019,Edmonton West,Alberta,2023-01-21,2023,1,41131,18138,22992,55.9
RG020,Montreal Central,Quebec,2023-01-21,2023,1,50624,19287,31336,61.9
RG021,Montreal East,Quebec,2023-01-21,2023,1,102032,45608,56423,55.3
RG022,Montreal West,Quebec,2023-01-21,2023,1,141754,23531,118222,83.4
RG023,Laval,Quebec,2023-01-21,2023,1,83272,39470,43801,52.6
RG024,Quebec City,Quebec,2023-01-21,2023,1,54490,23267,31222,57.3
RG001,Toronto Central,Ontario,2023-02-20,2023,2,247697,56722,190974,77.1
RG002,Toronto North,Ontario,2023-02-20,2023,2,254051,111020,143030,56.3
RG003,Toronto East,Ontario,2023-02-20,2023,2,205013,56378,148634,72.5
RG004,Toronto West,Ontario,2023-02-20,2023,2,198329,79728,118600,59.8
RG005,Mississauga,Ontario,2023-02-20,2023,2,195241,29286,165954,85.0
RG006,Brampton,Ontario,2023-02-20,2023,2,140080,22973,117106,83.6
RG007,Hamilton,Ontario,2023-02-20,2023,2,245081,94356,150724,61.5
RG008,Ottawa,Ontario,2023-02-20,2023,2,73483,14623,58859,80.1
RG009,Vancouver Downtown,British Columbia,2023-02-20,2023,2,110501,35139,75361,68.2
RG010,Vancouver East,British Columbia,2023-02-20,2023,2,102053,43576,58476,57.3
RG011,Vancouver West,British Columbia,2023-02-20,2023,2,129110,24530,104579,81.0
RG012,Burnaby,British Columbia,2023-02-20,2023,2,145367,36341,109025,75.0
RG013,Surrey,British Columbia,2023-02-20,2023,2,255076,110958,144117,56.5
RG014,Richmond,British Columbia,2023-02-20,2023,2,220188,94901,125286,56.9
RG015,Calgary Downtown,Alberta,2023-02-20,2023,2,152181,67720,84460,55.5
RG016,Calgary North,Alberta,2023-02-20,2023,2,180950,84141,96808,53.5
RG017,Calgary South,Alberta,2023-02-20,2023,2,128032,20101,107930,84.3
RG018,Edmonton Central,Alberta,2023-02-20,2023,2,160353,28061,132291,82.5
RG019,Edmonton West,Alberta,2023-02-20,2023,2,40593,17901,22691,55.9
RG020,Montreal Central,Quebec,2023-02-20,2023,2,49320,18790,30529,61.9
RG021,Montreal East,Quebec,2023-02-20,2023,2,100590,44963,55626,55.3
RG022,Montreal West,Quebec,2023-02-20,2023,2,133904,22228,111675,83.4
RG023,Laval,Quebec,2023-02-20,2023,2,84552,40077,44474,52.6
RG024,Quebec City,Quebec,2023-02-20,2023,2,56110,23958,32151,57.3
RG001,Toronto Central,Ontario,2023-03-22,2023,3,280157,64155,216001,77.1
RG002,Toronto North,Ontario,2023-03-22,2023,3,274536,119972,154563,56.3
RG003,Toronto East,Ontario,2023-03-22,2023,3,211266,58098,153167,72.5
RG004,Toronto West,Ontario,2023-03-22,2023,3,231800,93183,138616,59.8
RG005,Mississauga,Ontario,2023-03-22,2023,3,211170,31675,179494,85.0
RG006,Brampton,Ontario,2023-03-22,2023,3,163504,26814,136689,83.6
RG007,Hamilton,Ontario,2023-03-22,2023,3,274899,105836,169062,61.5
RG008,Ottawa,Ontario,2023-03-22,2023,3,84967,16908,68058,80.1
RG009,Vancouver Downtown,British Columbia,2023-03-22,2023,3,133446,42435,91010,68.2
RG010,Vancouver East,British Columbia,2023-03-22,2023,3,122468,52293,70174,57.3
RG011,Vancouver West,British Columbia,2023-03-22,2023,3,152747,29021,123725,81.0
RG012,Burnaby,British Columbia,2023-03-22,2023,3,164382,41095,123286,75.0
RG013,Surrey,British Columbia,2023-03-22,2023,3,280219,121895,158323,56.5
RG014,Richmond,British Columbia,2023-03-22,2023,3,244839,105525,139313,56.9
RG015,Calgary Downtown,Alberta,2023-03-22,2023,3,162156,72159,89996,55.5
RG016,Calgary North,Alberta,2023-03-22,2023,3,207846,96648,111197,53.5
RG017,Calgary South,Alberta,2023-03-22,2023,3,139746,21940,117805,84.3
RG018,Edmonton Central,Alberta,2023-03-22,2023,3,185725,32501,153223,82.5
RG019,Edmonton West,Alberta,2023-03-22,2023,3,43859,19341,24517,55.9
RG020,Montreal Central,Quebec,2023-03-22,2023,3,55356,21090,34265,61.9
RG021,Montreal East,Quebec,2023-03-22,2023,3,105345,47089,58255,55.3
RG022,Montreal West,Quebec,2023-03-22,2023,3,151570,25160,126409,83.4
RG023,Laval,Quebec,2023-03-22,2023,3,94777,44924,49852,52.6
RG024,Quebec City,Quebec,2023-03-22,2023,3,64131,27383,36747,57.3
RG001,Toronto Central,Ontario,2023-04-21,2023,4,282923,64789,218133,77.1
RG002,Toronto North,Ontario,2023-04-21,2023,4,283570,123920,159649,56.3
RG003,Toronto East,Ontario,2023-04-21,2023,4,209548,57625,151922,72.5
RG004,Toronto West,Ontario,2023-04-21,2023,4,235654,94732,140921,59.8
RG005,Mississauga,Ontario,2023-04-21,2023,4,215709,32356,183352,85.0
RG006,Brampton,Ontario,2023-04-21,2023,4,160967,26398,134568,83.6
RG007,Hamilton,Ontario,2023-04-21,2023,4,273367,105246,168120,61.5
RG008,Ottawa,Ontario,2023-04-21,2023,4,82361,16389,65971,80.1
RG009,Vancouver Downtown,British Columbia,2023-04-21,2023,4,124718,39660,85057,68.2
RG010,Vancouver East,British Columbia,2023-04-21,2023,4,118788,50722,68065,57.3
RG011,Vancouver West,British Columbia,2023-04-21,2023,4,153809,29223,124585,81.0
RG012,Burnaby,British Columbia,2023-04-21,2023,4,150944,37736,113208,75.0
RG013,Surrey,British Columbia,2023-04-21,2023,4,282251,122779,159471,56.5
